Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
briefing,Chrome 67.0.3396.99,,2018-07-17 16:35:44,2018-07-17 16:37:34,"1m - 50,505s",PASSED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_briefing_Test_En,Chrome 67.0.3396.99,,2018-07-17 16:35:44,2018-07-17 16:37:34,"1m - 50,178s",PASSED
Start listener action : beforeTestCase,Chrome 67.0.3396.99,,2018-07-17 16:35:44,2018-07-17 16:35:53,"8,853s",PASSED
Statement - com.system.RolesHelper.getCm_En()._Login_En(),Chrome 67.0.3396.99,login as content manager,2018-07-17 16:35:53,2018-07-17 16:36:07,"13,903s",PASSED
Statement - com.system.RolesHelper.getCm_En().getSide_Bar()._click_upper_button_create_item(),Chrome 67.0.3396.99,create new item by clicking on CREATE NEW ITEM button,2018-07-17 16:36:07,2018-07-17 16:36:08,"1,231s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBriefing()._choose_Template_By_Typing(),Chrome 67.0.3396.99,choose template  ,2018-07-17 16:36:08,2018-07-17 16:36:11,"2,445s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBriefing().getItem_property_tab_Briefing()._fill_property_tab(),Chrome 67.0.3396.99,fill property tab,2018-07-17 16:36:11,2018-07-17 16:36:34,"22,928s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBriefing().getEdit_Tab()._choose_Date_Edit_Item(),Chrome 67.0.3396.99,sed updated date,2018-07-17 16:36:34,2018-07-17 16:36:36,"2,135s",PASSED
Statement - com.system.RolesHelper.getCm_En().getBottom_Bar()._click_save_and_relocate_to_lastFolder(),Chrome 67.0.3396.99,save to last folder,2018-07-17 16:36:36,2018-07-17 16:36:36,"0,150s",PASSED
Statement - com.system.RolesHelper.getCm_En()._click_save_and_check_if_number_of_items_incremented_in_lastFolder(),Chrome 67.0.3396.99,verify if number of items was incremented in last folder,2018-07-17 16:36:36,2018-07-17 16:36:40,"3,833s",PASSED
Statement - com.system.RolesHelper.getCm_En().getUpper_bar()._search_by_first_description_word(),Chrome 67.0.3396.99,find item by each of description word in the search dropdown list,2018-07-17 16:36:40,2018-07-17 16:36:59,"19,466s",PASSED
Statement - com.system.RolesHelper.getCm_En()._delete_all_created_items(),Chrome 67.0.3396.99,delete all items,2018-07-17 16:36:59,2018-07-17 16:37:28,"29,211s",PASSED
Statement - com.system.RolesHelper.getCm_En().getUpper_bar()._click_Home_Button(),Chrome 67.0.3396.99,click home page,2018-07-17 16:37:28,2018-07-17 16:37:29,"0,121s",PASSED
Statement - com.system.RolesHelper.getCm_En().getUpper_bar()._logout(),Chrome 67.0.3396.99,logout from system,2018-07-17 16:37:29,2018-07-17 16:37:34,"5,157s",PASSED
closeBrowser,Chrome 67.0.3396.99,close browser,2018-07-17 16:37:34,2018-07-17 16:37:34,"0,653s",PASSED
Start listener action : afterTestCase,Chrome 67.0.3396.99,,2018-07-17 16:37:34,2018-07-17 16:37:34,"0,002s",PASSED
