Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
general,IE 11,,2018-07-29 12:36:10,2018-07-29 12:38:39,"2m - 29,127s",FAILED
,,,,,,
Test Cases/Kms_Tests/Languages/En/Item_Creation/Create_general_Test_En,IE 11,,2018-07-29 12:36:11,2018-07-29 12:38:39,"2m - 27,908s",FAILED
Start listener action : beforeTestCase,IE 11,,2018-07-29 12:36:11,2018-07-29 12:36:16,"4,837s",PASSED
Statement - com.system.RolesHelper.getCm_En().Login_En(),IE 11,login as content manager,2018-07-29 12:36:16,2018-07-29 12:36:30,"13,817s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().clickUpperButtonCreateItem(),IE 11,create new item by clicking on CREATE NEW ITEM button,2018-07-29 12:36:30,2018-07-29 12:36:34,"4,461s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().chooseTemplateByTyping(),IE 11,choose template  ,2018-07-29 12:36:34,2018-07-29 12:36:40,"5,355s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getItemPropertyTabGeneral().setItemName(),IE 11,set item name,2018-07-29 12:36:40,2018-07-29 12:37:02,"22,707s",PASSED
Statement - com.system.RolesHelper.getCm_En().getGeneral().getGeneralTab().getHtmlEditor().clickEditHTML(),IE 11,set updated date,2018-07-29 12:37:02,2018-07-29 12:37:11,"8,899s",PASSED
Statement - com.system.RolesHelper.getCm_En().getTaskBar().clickSaveAndRelocateToLastFolder(),IE 11,save to last folder,2018-07-29 12:37:11,2018-07-29 12:38:38,"1m - 26,531s",FAILED
Start listener action : afterTestCase,IE 11,,2018-07-29 12:38:38,2018-07-29 12:38:39,"1,174s",PASSED
